Color,Pawn,X,Y,Turn
blue,1,0,1,0
orange,2,3,2,1
blue,1,0,4,2
orange,1,3,3,3
blue,1,0,1,4
orange,1,2,3,5
blue,1,0,2,6
orange,4,1,3,7
blue,1,0,4,8
orange,1,2,1,9
blue,1,0,1,10
orange,1,0,3,11
blue,1,1,1,12
orange,4,1,2,13
blue,1,0,1,14
orange,1,2,1,15
blue,1,0,4,16
orange,1,4,1,17
blue,1,0,1,18
orange,1,4,3,19
blue,1,0,4,20
orange,1,1,3,21
blue,1,0,1,22
orange,4,1,1,23
blue,1,0,2,24
orange,3,1,2,25
blue,1,0,1,26
orange,1,0,2,27
blue,1,1,0,28
orange,3,0,1,29
blue,1,0,1,30
orange,2,2,0,31
blue,1,1,0,32
orange,4,1,2,33
blue,1,0,1,34
orange,1,2,0,35
blue,1,0,2,36
orange,3,1,0,37
blue,1,0,1,38
orange,2,3,2,39
blue,1,0,2,40
orange,1,2,1,41
blue,1,1,1,42
orange,4,1,4,43
blue,1,1,2,44
orange,1,4,3,45
blue,1,0,2,46
orange,4,0,4,47
blue,1,0,4,48
orange,4,2,4,49
blue,1,0,4,50
orange,1,1,3,51
blue,1,0,1,52
orange,2,2,4,53
blue,1,0,2,54
orange,2,3,2,55
blue,1,0,1,56
orange,1,0,3,57
blue,1,0,2,58
orange,2,4,4,59
blue,1,0,1,60
orange,2,2,3,61
blue,1,0,2,62
orange,3,2,1,63
blue,1,0,1,64
orange,3,3,2,65
blue,1,0,2,66
orange,2,0,4,67
blue,1,0,1,68
orange,1,2,3,69
blue,1,0,2,70
orange,1,1,2,71
blue,1,0,1,72
orange,4,2,1,73
blue,1,0,2,74
orange,4,3,1,75
blue,1,0,1,76
orange,3,1,0,77
blue,1,0,2,78
orange,1,1,1,79
blue,1,0,1,80
orange,1,1,0,81
blue,1,0,2,82
orange,2,2,3,83
blue,1,0,1,84
orange,2,3,1,85
blue,1,0,2,86
orange,1,2,0,87
blue,1,0,1,88
orange,2,2,3,89
blue,1,0,2,90
orange,1,2,1,91
blue,1,0,1,92
orange,2,0,2,93
blue,1,0,2,94
orange,1,1,1,95
blue,1,0,1,96
orange,1,1,4,97
blue,1,0,2,98
orange,1,1,3,99
blue,1,0,1,100
orange,2,1,0,101
blue,1,0,2,102
orange,4,0,1,103
blue,1,0,3,104
orange,1,2,3,105
blue,1,0,2,106
orange,1,0,1,107
blue,1,0,4,108
orange,4,0,0,109
blue,1,0,2,110
orange,1,3,3,111
blue,1,0,1,112
orange,1,3,1,113
blue,1,0,2,114
orange,1,1,3,115
blue,1,0,1,116
orange,3,3,2,117
blue,1,0,2,118
orange,3,2,3,119
blue,1,0,4,120
orange,4,0,1,121
blue,1,0,2,122
orange,2,4,2,123
blue,1,0,3,124
orange,3,1,4,125
blue,1,0,2,126
orange,1,0,4,127
blue,1,0,3,128
orange,1,3,1,129
blue,1,0,2,130
orange,3,0,3,131
blue,1,0,3,132
orange,2,3,4,133
blue,1,0,2,134
orange,1,3,4,135
blue,1,0,3,136
orange,3,1,4,137
blue,1,0,4,138
orange,1,2,4,139
blue,1,0,2,140
orange,1,1,4,141
blue,1,0,3,142
orange,1,1,0,143
blue,1,1,2,144
orange,3,4,1,145
blue,1,0,2,146
orange,1,2,1,147
blue,1,1,2,148
orange,2,2,2,149
blue,1,0,2,150
orange,2,4,3,151
blue,1,1,2,152
orange,1,2,2,153
blue,1,0,2,154
orange,3,3,2,155
blue,1,0,3,156
orange,1,4,0,157
blue,1,0,2,158
