#{"t_start": 1744979297.9210398, "env_id": "None"}
r,l,t
0.0,1,2.408089
0.0,1,2.439029
0.0,1,2.468529
0.0,1,2.500524
0.0,1,2.528506
0.0,1,2.555539
0.0,1,2.583512
0.0,1,2.609507
0.0,1,2.63853
0.0,1,2.667507
0.0,1,2.69852
0.0,1,2.727505
0.0,1,2.754504
0.0,1,2.780506
0.0,1,2.806507
0.0,1,2.834506
0.0,1,2.863542
0.0,1,2.890541
0.0,1,2.919509
0.0,1,2.949506
0.0,1,2.980511
0.0,1,3.006509
0.0,1,3.035532
0.0,1,3.066507
0.0,1,3.092519
0.0,1,3.121532
0.0,1,3.201509
0.0,1,3.23151
0.0,1,3.257544
0.0,1,3.284533
0.0,1,3.319511
0.0,1,3.346532
0.0,1,3.373511
0.0,1,3.40151
0.0,1,3.434544
0.0,1,3.467513
0.0,1,3.497515
0.0,1,3.530512
0.0,1,3.562512
0.0,1,3.591512
0.0,1,3.63052
0.0,1,3.664512
0.0,1,3.701549
0.0,1,3.732511
0.0,1,3.765513
0.0,1,3.794513
0.0,1,3.832529
0.0,1,3.870512
0.0,1,3.904518
0.0,1,3.937515
0.0,1,3.975515
0.0,1,4.003515
0.0,1,4.030517
0.0,1,4.058513
0.0,1,4.090553
0.0,1,4.119514
0.0,1,4.14952
0.0,1,4.178515
0.0,1,4.210519
0.0,1,4.239521
0.0,1,4.273539
0.0,1,4.306544
0.0,1,4.337517
0.0,1,4.370514
0.0,1,4.43752
0.0,1,4.48153
0.0,1,4.511516
0.0,1,4.539516
0.0,1,4.569544
0.0,1,4.598542
0.0,1,4.63155
0.0,1,4.668519
0.0,1,4.69652
0.0,1,4.723516
0.0,1,4.752518
0.0,1,4.784554
0.0,1,4.814518
0.0,1,4.843521
0.0,1,4.872518
0.0,1,4.905518
0.0,1,4.942521
0.0,1,4.971523
0.0,1,5.001548
0.0,1,5.031525
0.0,1,5.05952
0.0,1,5.087521
0.0,1,5.119522
0.0,1,5.148522
0.0,1,5.177546
0.0,1,5.212539
0.0,1,5.246521
0.0,1,5.273525
0.0,1,5.303521
0.0,1,5.336523
0.0,1,5.364525
0.0,1,5.393525
0.0,1,5.421521
0.0,1,5.451522
0.0,1,5.479524
0.0,1,5.507552
0.0,1,5.543522
0.0,1,5.571556
0.0,1,5.598522
0.0,1,5.625522
0.0,1,5.656523
0.0,1,5.684539
0.0,1,5.712533
0.0,1,5.738548
0.0,1,5.769528
0.0,1,5.799528
0.0,1,5.831531
0.0,1,5.858528
0.0,1,5.893528
0.0,1,5.920553
0.0,1,5.947527
0.0,1,5.974526
0.0,1,6.003526
0.0,1,6.030551
0.0,1,6.057525
0.0,1,6.085526
0.0,1,6.120525
0.0,1,6.193529
0.0,1,6.231526
0.0,1,6.258529
0.0,1,6.287542
0.0,1,6.316562
0.0,1,6.345532
0.0,1,6.371526
0.0,1,6.398563
0.0,1,6.43253
0.0,1,6.469565
0.0,1,6.503529
0.0,1,6.537531
0.0,1,6.566541
0.0,1,6.599528
0.0,1,6.636528
0.0,1,6.671528
0.0,1,6.707534
0.0,1,6.740536
0.0,1,6.77953
0.0,1,6.817529
0.0,1,6.85253
0.0,1,6.889576
0.0,1,6.918531
0.0,1,6.951544
0.0,1,6.986532
0.0,1,7.023533
0.0,1,7.05953
